customer_id,risk_level,strategies
C001,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}]"
C002,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C003,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C004,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate', 'message': ""Your credit utilization is very high. Let's discuss options."", 'offer': 'Payment plan or credit limit increase (if qualified)'}]"
C005,LOW,[]
C006,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C007,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C008,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}]"
C009,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C010,CRITICAL,"[{'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate (within 24 hours)', 'message': ""Urgent: We noticed some concerning patterns in your account. Let's discuss payment options."", 'offer': 'Payment plan, hardship program, or credit limit adjustment'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate', 'message': ""Your credit utilization is very high. Let's discuss options."", 'offer': 'Payment plan or credit limit increase (if qualified)'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C011,LOW,[]
C012,CRITICAL,"[{'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate (within 24 hours)', 'message': ""Urgent: We noticed some concerning patterns in your account. Let's discuss payment options."", 'offer': 'Payment plan, hardship program, or credit limit adjustment'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C013,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C014,CRITICAL,"[{'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate (within 24 hours)', 'message': ""Urgent: We noticed some concerning patterns in your account. Let's discuss payment options."", 'offer': 'Payment plan, hardship program, or credit limit adjustment'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C015,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}]"
C016,LOW,[]
C017,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C018,LOW,[]
C019,LOW,[]
C020,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C021,LOW,[]
C022,LOW,[]
C023,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C024,CRITICAL,"[{'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate (within 24 hours)', 'message': ""Urgent: We noticed some concerning patterns in your account. Let's discuss payment options."", 'offer': 'Payment plan, hardship program, or credit limit adjustment'}]"
C025,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C026,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate', 'message': ""Your credit utilization is very high. Let's discuss options."", 'offer': 'Payment plan or credit limit increase (if qualified)'}]"
C027,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C028,LOW,[]
C029,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C030,LOW,[]
C031,CRITICAL,"[{'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate (within 24 hours)', 'message': ""Urgent: We noticed some concerning patterns in your account. Let's discuss payment options."", 'offer': 'Payment plan, hardship program, or credit limit adjustment'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C032,LOW,[]
C033,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C034,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C035,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C036,LOW,[]
C037,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate', 'message': ""Your credit utilization is very high. Let's discuss options."", 'offer': 'Payment plan or credit limit increase (if qualified)'}]"
C038,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C039,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}]"
C040,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C041,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate', 'message': ""Your credit utilization is very high. Let's discuss options."", 'offer': 'Payment plan or credit limit increase (if qualified)'}]"
C042,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}]"
C043,LOW,[]
C044,LOW,[]
C045,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}]"
C046,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}]"
C047,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C048,LOW,[]
C049,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C050,LOW,[]
C051,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C052,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}]"
C053,LOW,[]
C054,LOW,[]
C055,LOW,[]
C056,LOW,[]
C057,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}]"
C058,LOW,[]
C059,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C060,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate', 'message': ""Your credit utilization is very high. Let's discuss options."", 'offer': 'Payment plan or credit limit increase (if qualified)'}]"
C061,LOW,[]
C062,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}]"
C063,LOW,[]
C064,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C065,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C066,LOW,[]
C067,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C068,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C069,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C070,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate', 'message': ""Your credit utilization is very high. Let's discuss options."", 'offer': 'Payment plan or credit limit increase (if qualified)'}]"
C071,LOW,[]
C072,LOW,[]
C073,LOW,[]
C074,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C075,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate', 'message': ""Your credit utilization is very high. Let's discuss options."", 'offer': 'Payment plan or credit limit increase (if qualified)'}]"
C076,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C077,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C078,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C079,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}]"
C080,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C081,CRITICAL,"[{'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate (within 24 hours)', 'message': ""Urgent: We noticed some concerning patterns in your account. Let's discuss payment options."", 'offer': 'Payment plan, hardship program, or credit limit adjustment'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate', 'message': ""Your credit utilization is very high. Let's discuss options."", 'offer': 'Payment plan or credit limit increase (if qualified)'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C082,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}]"
C083,CRITICAL,"[{'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate (within 24 hours)', 'message': ""Urgent: We noticed some concerning patterns in your account. Let's discuss payment options."", 'offer': 'Payment plan, hardship program, or credit limit adjustment'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C084,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}]"
C085,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}]"
C086,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}]"
C087,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}]"
C088,LOW,[]
C089,LOW,[]
C090,LOW,[]
C091,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C092,CRITICAL,"[{'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate (within 24 hours)', 'message': ""Urgent: We noticed some concerning patterns in your account. Let's discuss payment options."", 'offer': 'Payment plan, hardship program, or credit limit adjustment'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C093,CRITICAL,"[{'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate (within 24 hours)', 'message': ""Urgent: We noticed some concerning patterns in your account. Let's discuss payment options."", 'offer': 'Payment plan, hardship program, or credit limit adjustment'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C094,CRITICAL,"[{'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate (within 24 hours)', 'message': ""Urgent: We noticed some concerning patterns in your account. Let's discuss payment options."", 'offer': 'Payment plan, hardship program, or credit limit adjustment'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate', 'message': ""Your credit utilization is very high. Let's discuss options."", 'offer': 'Payment plan or credit limit increase (if qualified)'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C095,LOW,[]
C096,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C097,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}]"
C098,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}]"
C099,LOW,[]
C100,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}]"
